tconst	averageRating	numVotes
tt0001303	6.0	7
tt0001306	4.8	5
tt0001307	5.5	6
tt0001314	5.9	127
tt0001315	6.0	10
tt0001321	5.1	20
tt0001326	5.5	28
tt0001330	6.2	13
tt0001333	5.4	19
tt0001337	6.1	18
tt0001338	5.4	7
tt0001340	5.1	67
tt0001351	6.1	28
tt0001358	4.1	14
tt0001370	5.2	14
tt0001371	6.0	309
tt0001377	5.1	17
tt0001378	6.1	162
tt0001380	3.6	5
tt0001381	5.2	18
tt0001385	5.4	26
tt0001386	4.6	8
tt0001387	5.6	12
tt0001388	5.7	52
tt0001396	2.8	6
tt0001400	6.4	7
tt0001401	5.5	13
tt0001407	6.2	6
tt0001410	3.9	7
tt0001414	7.2	19
tt0001423	4.6	7
tt0001428	5.1	23
tt0001431	6.4	536
tt0001432	4.5	8
tt0001439	5.9	190
tt0001440	4.8	11
tt0001443	5.8	5
tt0001444	3.3	19
tt0001446	5.3	7
tt0001452	5.3	142
tt0001454	6.5	6
tt0001456	8.5	8
tt0001458	5.9	121
tt0001459	5.4	31
tt0001460	2.9	7
tt0001461	5.9	9
tt0001463	5.7	1269
tt0001469	5.8	61
tt0001475	7.4	14
tt0001481	5.7	9
tt0001482	4.9	26
tt0001488	6.3	329
tt0001490	4.8	9
tt0001496	4.1	31
tt0001499	5.5	237
tt0001500	5.7	6
tt0001508	5.0	13
tt0001510	5.4	26
tt0001517	5.6	14
tt0001518	5.7	7
tt0001519	4.5	15
tt0001527	7.7	2295
tt0001529	4.0	8
tt0001530	5.6	9
tt0001531	4.6	8
tt0001542	4.0	8
tt0001544	6.0	467
tt0001545	6.7	85
tt0001550	5.4	28
tt0001551	5.2	81
tt0001552	4.8	13
tt0001557	4.8	53
tt0001560	4.1	7
tt0001563	5.8	26
tt0001564	4.1	8
tt0001571	4.4	7
tt0001577	4.4	7
tt0001582	4.4	9
tt0001583	5.6	10
tt0001586	3.9	7
tt0001587	3.7	10
tt0001588	5.6	124
tt0001593	6.3	256
tt0001594	6.4	225
tt0001598	5.8	12
tt0001607	5.5	28
tt0001613	5.3	102
tt0001614	6.4	13
tt0001615	5.0	12
tt0001624	5.0	32
tt0001630	5.7	19
tt0001632	6.4	37
tt0001642	5.1	22
tt0001654	5.2	17
tt0001655	4.0	9
tt0001658	5.8	8
tt0001659	6.6	8
tt0001660	5.8	155
tt0001668	4.2	24
tt0001671	5.0	15
tt0001680	5.2	472
tt0001681	4.9	192
tt0001692	5.3	9
tt0001693	7.1	11
tt0001695	4.8	34
tt0001696	4.2	5
tt0001701	4.6	52
tt0001709	5.6	17
tt0001715	3.5	6
tt0001717	3.4	14
tt0001722	4.2	5
tt0001724	5.8	197
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.2	12
tt0001737	7.1	1392
tt0001738	7.2	18
tt0001740	6.5	939
tt0001741	4.2	12
tt0001742	5.6	7
tt0001747	4.7	10
tt0001753	5.3	7
tt0001762	4.7	50
tt0001769	5.3	23
tt0001771	5.4	108
tt0001772	5.6	7
tt0001776	6.8	138
tt0001779	7.0	9
tt0001787	8.5	6
tt0001789	6.3	192
tt0001790	5.8	21
tt0001803	3.0	7
tt0001815	7.4	8
tt0001817	5.2	60
tt0001832	6.0	30
tt0001840	4.9	20
tt0001845	5.0	6
tt0001848	4.2	24
tt0001852	4.1	7
tt0001856	4.7	26
tt0001857	5.6	172
tt0001862	5.3	24
tt0001865	6.3	22
tt0001868	5.4	5
tt0001871	4.5	29
tt0001872	7.0	21
tt0001877	5.3	41
tt0001889	4.0	8
tt0001892	6.0	163
tt0001896	5.0	39
tt0001910	5.3	39
tt0001911	4.1	7
tt0001913	5.6	167
tt0001915	6.0	70
tt0001923	7.3	15
tt0001924	5.4	5
tt0001925	5.3	13
tt0001928	4.5	32
tt0001941	5.1	53
tt0001949	5.6	16
tt0001956	6.1	7
tt0001957	5.2	38
tt0001963	5.7	96
tt0001964	6.2	45
tt0001967	5.9	8
tt0001969	5.4	5
tt0001973	6.2	213
tt0001978	5.6	12
tt0001987	6.1	11
tt0001989	5.0	5
tt0001993	4.0	11
tt0001998	4.2	12
tt0002020	5.2	82
tt0002026	4.0	6
tt0002029	6.2	32
tt0002031	4.6	8
tt0002033	5.6	26
tt0002034	4.9	16
tt0002041	3.9	14
tt0002045	4.2	69
tt0002054	5.8	110
tt0002056	6.8	96
tt0002064	4.8	31
tt0002065	6.1	32
tt0002066	3.9	50
tt0002068	5.1	14
tt0002070	4.8	21
tt0002078	5.0	23
tt0002082	6.2	300
tt0002083	6.1	174
tt0002093	4.6	11
tt0002095	4.9	11
tt0002097	4.2	11
tt0002098	5.7	104
tt0002101	5.1	386
tt0002107	5.1	10
tt0002113	6.9	725
tt0002114	4.2	6
tt0002121	4.5	14
tt0002122	6.1	225
tt0002124	5.1	288
tt0002126	6.5	39
tt0002130	7.0	1942
tt0002132	5.6	5
tt0002133	5.7	144
tt0002136	5.9	52
tt0002139	5.4	7
tt0002143	5.9	436
tt0002144	5.4	10
tt0002145	8.7	7
tt0002151	4.7	17
tt0002153	5.7	40
tt0002159	4.1	18
tt0002160	6.6	59
tt0002162	4.4	34
tt0002167	5.0	10
tt0002172	4.8	11
tt0002176	5.9	221
tt0002177	5.6	19
tt0002179	3.4	18
tt0002181	6.3	116
tt0002186	6.4	70
tt0002190	6.2	311
tt0002196	4.5	6
tt0002197	5.6	211
tt0002198	6.3	19
tt0002199	5.7	431
tt0002200	6.3	67
tt0002202	4.8	9
tt0002203	5.2	33
tt0002206	5.5	11
tt0002208	6.7	1021
tt0002212	5.2	13
tt0002214	5.8	20
tt0002216	5.2	14
tt0002220	4.1	13
tt0002221	6.8	298
tt0002224	5.1	114
tt0002226	5.5	33
tt0002230	6.4	72
tt0002232	5.4	35
tt0002233	4.7	97
tt0002234	8.5	13
tt0002253	4.2	5
tt0002255	4.5	27
tt0002260	6.3	970
tt0002261	6.7	10
tt0002268	5.1	7
tt0002273	4.7	6
tt0002277	6.3	19
tt0002278	5.1	9
tt0002280	4.7	27
tt0002281	6.2	234
tt0002282	5.3	18
tt0002287	4.4	5
tt0002290	5.3	35
tt0002295	7.4	5
tt0002300	6.2	8
tt0002302	6.3	20
tt0002303	5.7	142
tt0002305	7.5	15
tt0002309	9.0	12
tt0002318	5.2	5
tt0002329	5.4	22
tt0002332	4.5	11
tt0002340	6.0	36
tt0002342	5.9	56
tt0002349	5.2	8
tt0002350	6.5	241
tt0002354	6.3	104
tt0002355	6.2	38
tt0002357	6.3	162
tt0002369	6.2	34
tt0002370	5.9	7
tt0002371	6.5	10
tt0002374	6.2	8
tt0002380	4.8	6
tt0002381	6.6	1812
tt0002382	6.0	5
tt0002386	5.9	118
tt0002387	4.7	24
tt0002391	6.4	711
tt0002392	5.4	5
tt0002394	7.8	5
tt0002398	5.3	27
tt0002399	3.9	7
tt0002400	5.7	194
tt0002402	7.7	6
tt0002405	4.7	18
tt0002406	4.7	10
tt0002408	6.3	251
tt0002409	6.1	9
tt0002415	5.9	473
tt0002421	5.9	92
tt0002423	6.8	697
tt0002429	6.3	138
tt0002434	9.0	5
tt0002437	9.0	7
tt0002440	3.6	11
tt0002441	5.6	13
tt0002443	4.2	5
tt0002445	6.2	235
tt0002449	6.2	42
tt0002451	8.2	8
tt0002452	6.7	183
tt0002461	5.5	209
tt0002465	5.8	22
tt0002473	6.8	57
tt0002475	7.3	64
tt0002477	5.9	8
tt0002478	5.5	26
tt0002484	5.5	47
tt0002497	6.4	73
tt0002501	4.2	20
tt0002504	4.8	32
tt0002505	4.5	8
tt0002506	4.8	12
tt0002512	6.2	314
tt0002514	5.9	7
tt0002515	4.9	7
tt0002521	5.3	17
tt0002523	5.6	70
tt0002528	4.9	31
tt0002529	4.4	5
tt0002531	6.0	6
tt0002532	6.0	70
tt0002533	5.2	48
tt0002535	4.6	25
tt0002536	5.5	33
tt0002538	4.7	7
tt0002542	5.9	9
tt0002544	6.0	138
tt0002545	7.4	7
tt0002546	6.4	14
tt0002547	5.8	5
